stid,name,state,country,county,cwa,nwszone,timezone,elevation_ft,lat,lon,mnet_id,window_start_utc,window_end_utc,precip_in,first_report,last_report,report_type,count
G5434,GW5434 EASTABUCHIE,MS,US,,,,America/Chicago,190.0,31.45250,-89.28433,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.86,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
AV042,N5PA-2 Meadville,MS,US,,,,America/Chicago,310.07,31.58700,-90.89833,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.86,2026-05-01T16:05:00-0500,2026-05-02T15:50:00-0500,precip_accum_since_local_midnight,231
G1868,GW1868 VACHERIE,LA,US,,,,America/Chicago,10.17,29.93701,-90.69312,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.85,2026-05-01T16:01:00-0500,2026-05-02T15:50:00-0500,precip_accum_since_local_midnight,95
FFAL1,FRENCH FORK LITTLE RIVER AT ARCHIE,LA,US,,,,America/Chicago,55.0,31.57389,-91.99194,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.85,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum,95
MSS20,Natchez,MS,US,,,,America/Chicago,75.0,31.34067,-91.39999,236,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.84,2026-05-01T16:00:00-0500,2026-05-02T15:30:00-0500,precip_accum_fifteen_minute,94
LM029,ULM_MARO,LA,US,,,,America/Chicago,5.0,29.8305,-90.11407,313,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.83,2026-05-01T16:00:00-0500,2026-05-02T15:40:00-0500,precip_accum_since_local_midnight,284
LM009,ULM_ACME,LA,US,,,,America/Chicago,44.9997,31.34476,-91.71883,313,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.82,2026-05-01T16:00:00-0500,2026-05-02T15:40:00-0500,precip_accum_since_local_midnight,284
AX220,KI5MVM METAIRIE,LA,US,,,,America/Chicago,3.28,30.02833,-90.21383,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.82,2026-05-01T16:16:00-0500,2026-05-02T15:56:00-0500,precip_accum_since_local_midnight,260
BVCL1,BAYOU VERMILION NEAR CARENCRO,LA,US,,,,America/Chicago,59.0,30.36806,-91.98750,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.81,2026-05-01T16:00:00-0500,2026-05-02T15:15:00-0500,precip_accum,72
BBGL1,BLACK BAYOU NEAR GONZALES 3NE,LA,US,,,,America/Chicago,32.0,30.23722,-90.87000,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.81,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum,95
LSU01,BenHur,LA,US,,,,America/Chicago,20.0,30.36437,-91.16726,256,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.8,2026-05-01T16:02:00-0500,2026-05-02T15:50:00-0500,precip_accum_one_minute,1428
KGAO,"Galliano, South Lafourche Airport",LA,US,,,,America/Chicago,0.0,29.44472,-90.26111,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.79,2026-05-01T15:55:00-0500,2026-05-02T15:35:00-0500,precip_accum_one_hour,71
F8402,FW8402 Youngsville,LA,US,,,,America/Chicago,25.39,30.11383,-92.01083,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.79,2026-05-01T16:03:00-0500,2026-05-02T15:52:00-0500,precip_accum_since_local_midnight,282
RMAM6,MARION,MS,US,,,,America/Chicago,380.0,31.211390,-89.9225,2,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.78,2026-05-01T16:09:00-0500,2026-05-02T15:09:00-0500,precip_accum,23
LSU11,StGabUSDACR6,LA,US,,,,America/Chicago,20.0,30.26630,-91.10629,256,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.78,2026-05-01T16:02:00-0500,2026-05-02T15:49:00-0500,precip_accum_one_minute,1427
KLUL,LAUREL/NOBLE FIELD,MS,US,,,,America/Chicago,240.0,31.67,-89.17,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.78,2026-05-01T15:55:00-0500,2026-05-02T15:35:00-0500,precip_accum_one_hour,70
F0338,FW0338 Plaucheville,LA,US,,,,America/Chicago,39.0,30.94383,-91.96533,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.78,2026-05-01T16:04:00-0500,2026-05-02T15:50:00-0500,precip_accum_since_local_midnight,282
LRBL1,LITTLE RIVER AT BOGGY BAYOU ROAD,LA,US,,,,America/Chicago,62.0,31.14167,-92.00944,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.76,2026-05-01T16:00:00-0500,2026-05-02T15:30:00-0500,precip_accum,94
LM008,ULM_JVIL,LA,US,,,,America/Chicago,51.9997,31.58849,-91.85472,313,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.76,2026-05-01T16:00:00-0500,2026-05-02T15:40:00-0500,precip_accum_since_local_midnight,284
G6243,GW6243 PETAL,MS,US,,,,America/Chicago,515.09,31.35150,-89.20467,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.76,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,94
GHAA1,GROVE HILL,AL,US,,,,America/Chicago,445.0,31.690690,-87.760580,2,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.75,2026-05-01T16:26:00-0500,2026-05-02T15:26:00-0500,precip_accum,23
G3222,GW3222 Waynesboro,MS,US,,,,America/Chicago,167.0,31.67737,-88.67066,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.75,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
E1043,EW1043 Lutcher,LA,US,,,,America/Chicago,10.56,30.05633,-90.69917,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.75,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
NBWL1,NORTH BRANCH WARD CREEK AT JEFFERSON HIGHWAY NEAR WESTMINSTER 4SE,LA,US,,,,America/Chicago,41.0,30.41778,-91.09139,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.74,2026-05-01T16:00:00-0500,2026-05-02T15:15:00-0500,precip_accum,73
E1090,EW1090 Metairie,LA,US,,,,America/Chicago,-0.66,30.00500,-90.14217,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.74,2026-05-01T16:03:00-0500,2026-05-02T15:53:00-0500,precip_accum_since_local_midnight,279
CADL1,USCRN SITE AT UNIVERSITY OF LOUISIANA AT LAFAYETTE - CADE FARM NEAR LAFAYETTE 13SE,LA,US,,,,America/Chicago,32.0,30.09167,-91.87306,123,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.73,2026-05-01T16:05:00-0500,2026-05-02T15:30:00-0500,precip_accum_five_minute,258
KBIX,Keesler Air Force Base / Biloxi,MS,US,,,,America/Chicago,33.0,30.41667,-88.91667,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.72,2026-05-01T16:05:00-0500,2026-05-02T15:28:00-0500,precip_accum_one_hour,92
AS718,N5PRN Jena,LA,US,,,,America/Chicago,209.0,31.70200,-92.11870,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.72,2026-05-01T16:02:00-0500,2026-05-02T15:57:00-0500,precip_accum_since_local_midnight,283
LSU03,Crowley,LA,US,,,,America/Chicago,23.0,30.24761,-92.34761,256,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.7,2026-05-01T16:02:00-0500,2026-05-02T15:50:00-0500,precip_accum_one_minute,1428
